C,kernel,loss,status
2.2,sigmoid,-0.616161616162,ok
2.1,sigmoid,-0.616161616162,ok
2.9,rbf,-0.615039281706,ok
2.9,sigmoid,-0.616161616162,ok
0.3,rbf,-0.616161616162,ok
2.7,sigmoid,-0.616161616162,ok
1.9,linear,-0.789001122334,ok
2.8,rbf,-0.615039281706,ok
2.8,sigmoid,-0.616161616162,ok
0.3,rbf,-0.616161616162,ok
1.2,rbf,-0.615039281706,ok
1.4,sigmoid,-0.616161616162,ok
0.6,linear,-0.783389450056,ok
0.5,rbf,-0.616161616162,ok
1.6,sigmoid,-0.616161616162,ok
2.4,sigmoid,-0.616161616162,ok
0.6,linear,-0.783389450056,ok
0.6,linear,-0.783389450056,ok
1.1,sigmoid,-0.616161616162,ok
1.2,rbf,-0.615039281706,ok
1.8,linear,-0.786756453423,ok
1.8,linear,-0.786756453423,ok
1.9,linear,-0.789001122334,ok
2.5,linear,-0.785634118967,ok
2.1,linear,-0.785634118967,ok
1.8,linear,-0.786756453423,ok
1.5,linear,-0.784511784512,ok
2.5,linear,-0.785634118967,ok
0.9,linear,-0.784511784512,ok
2.2,linear,-0.785634118967,ok
2.2,linear,-0.785634118967,ok
2.0,linear,-0.787878787879,ok
1.9,linear,-0.789001122334,ok
1.6,linear,-0.786756453423,ok
2.4,linear,-0.785634118967,ok
1.0,linear,-0.786756453423,ok
1.3,linear,-0.785634118967,ok
2.0,rbf,-0.615039281706,ok
2.6,linear,-0.787878787879,ok
0.8,sigmoid,-0.616161616162,ok
